dataelement,period,orgunit,categoryoptioncombo,attroptioncombo,value,storedby,timestamp
pfhjZfDGYK7,201812,zpZe3QseTDL,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,Vrk2ADgr1gt,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,DuamJ92EoKF,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,iIj56268Js4,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,MwRndwhV4ic,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,GuCRztcljEs,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,cel2FRf1BTL,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,UNZJkWAAY4L,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,y41CvHMIKKF,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,RdAmTGizx8L,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,IkuYPoTSzh6,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,sArM7mYLgCH,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,TIce6Zmv4ht,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,T7y0nz2qsGJ,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,K20sgY6YJlR,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,oseYrSnwiO4,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,kJLfIxxGwcq,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,fTSaWY1pzW8,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,rxwA3feXlsv,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,v9gn5I7YiEO,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,bAW140uFwlr,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,eMnI3PKYZcJ,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,h2m3erkUjHf,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,aIwtDsRm2g2,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,yIkbHvkgo3B,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,vXVGcMvdPJs,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,dKXHFBSVCD3,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,awnwQZnNICo,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,xjwYMPhjvr5,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,ha0dSLCaZIE,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,M7LpdaNM3Ps,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,piv6dWHqNQc,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,h0qo6CUFlce,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
pfhjZfDGYK7,201812,AAD16JuwOTW,RYy9LbEMhFY,,,openmrs.reporting,2019-01-15
