dataelement,period,orgunit,categoryoptioncombo,attroptioncombo,value,storedby,timestamp
Vm72RwSJPO0,201811,A4HQc9njgJm,jF6cd1dU990,,1330,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,A4lPaACKXgz,jF6cd1dU990,,4166,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,A55dVNoHGEt,jF6cd1dU990,,6285,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,AAD16JuwOTW,jF6cd1dU990,,911,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,AjmcwZso2nI,jF6cd1dU990,,348,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,B2xrUCZsKvW,jF6cd1dU990,,5802,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,BXorKBXEKv0,jF6cd1dU990,,860,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,BZJ86Bcx97b,jF6cd1dU990,,913,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,D9gXbDcgLBs,jF6cd1dU990,,2464,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,DuamJ92EoKF,jF6cd1dU990,,467,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,E2xPn5Nizi7,jF6cd1dU990,,58,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,E5oDewyrtiw,jF6cd1dU990,,456,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,EfcqpK711vX,jF6cd1dU990,,3585,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,FZ6HhFrJvEt,jF6cd1dU990,,552,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,GTT9ldtimfa,jF6cd1dU990,,4288,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,GuCRztcljEs,jF6cd1dU990,,955,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,H8tlCjFZkZp,jF6cd1dU990,,93,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,HtEMrABlow9,jF6cd1dU990,,799,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,I6DHuHO6aW1,jF6cd1dU990,,217,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,IkuYPoTSzh6,jF6cd1dU990,,4831,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,K20sgY6YJlR,jF6cd1dU990,,1304,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,KRL3eXcM1Qu,jF6cd1dU990,,719,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,M7LpdaNM3Ps,jF6cd1dU990,,97,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,M8tsjR0bHH0,jF6cd1dU990,,416,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,MLdM7fa1gm3,jF6cd1dU990,,393,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,MwRndwhV4ic,jF6cd1dU990,,555,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,NELXfODqkAH,jF6cd1dU990,,3046,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,NlyjxHuFLcj,jF6cd1dU990,,1795,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,Nz7DdmnSo19,jF6cd1dU990,,1539,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,ONK6zzBcoUd,jF6cd1dU990,,321,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,PG191xLu5Kh,jF6cd1dU990,,284,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,PMlKNsmJnch,jF6cd1dU990,,103,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,PrZ6w2gsdao,jF6cd1dU990,,2460,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,Q4oXUFdTiKF,jF6cd1dU990,,138,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,RG83TLWuP6B,jF6cd1dU990,,1027,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,Rb3G7NEU8xu,jF6cd1dU990,,1581,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,RdAmTGizx8L,jF6cd1dU990,,1772,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,RoCx0wMPOFi,jF6cd1dU990,,36,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,RoUYjQqQKcD,jF6cd1dU990,,126,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,SZfWjwl9za4,jF6cd1dU990,,301,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,T233TRlr4Oi,jF6cd1dU990,,1245,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,T4TNPx1loSV,jF6cd1dU990,,143,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,T7y0nz2qsGJ,jF6cd1dU990,,630,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,TIce6Zmv4ht,jF6cd1dU990,,962,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,TK1aZ7rnE2m,jF6cd1dU990,,206,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,UAX3lWWAfLt,jF6cd1dU990,,1058,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,UNZJkWAAY4L,jF6cd1dU990,,240,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,UPtFR2q8rxn,jF6cd1dU990,,3331,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,UtLxLliaas8,jF6cd1dU990,,76,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,V1pU5zowkHA,jF6cd1dU990,,896,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,VPv1fdtbIcf,jF6cd1dU990,,465,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,Vrk2ADgr1gt,jF6cd1dU990,,130,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,We5EGKFrvL9,jF6cd1dU990,,682,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,XMeE8tiBlCN,jF6cd1dU990,,1378,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,Y3RI78Vyoj2,jF6cd1dU990,,2673,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,YWO3XF03oUk,jF6cd1dU990,,426,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,aIwtDsRm2g2,jF6cd1dU990,,950,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,av6ts4Npv6C,jF6cd1dU990,,113,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,awnwQZnNICo,jF6cd1dU990,,101,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,bYjBazVObHK,jF6cd1dU990,,521,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,cKNMjkCv6Ne,jF6cd1dU990,,1631,openmrs.reporting,2018-11-13
Vm72RwSJPO0,201811,cML2O0Y5urU,jF6cd1dU990,,103,openmrs.reporting,2018-11-13
