dataelement,period,orgunit,categoryoptioncombo,attroptioncombo,value,storedby,timestamp
E9QCyrRKBBx,201812,Rb3G7NEU8xu,jF6cd1dU990,,0,openmrs.reporting,2019-01-23
E9QCyrRKBBx,201812,XMeE8tiBlCN,jF6cd1dU990,,0,openmrs.reporting,2019-01-23
E9QCyrRKBBx,201812,fy4UAe8WycA,jF6cd1dU990,,0,openmrs.reporting,2019-01-23
E9QCyrRKBBx,201812,hSnC4R4RqoU,jF6cd1dU990,,0,openmrs.reporting,2019-01-23
E9QCyrRKBBx,201812,i4wr3dvAvkZ,jF6cd1dU990,,0,openmrs.reporting,2019-01-23
E9QCyrRKBBx,201812,j4P6U3xOulI,jF6cd1dU990,,1,openmrs.reporting,2019-01-23
E9QCyrRKBBx,201812,s3v5lgvAame,jF6cd1dU990,,0,openmrs.reporting,2019-01-23
EOFO1XAQmgs,201812,Rb3G7NEU8xu,TEDC8NdJPry,,1,openmrs.reporting,2019-01-23
EOFO1XAQmgs,201812,Rb3G7NEU8xu,wTz6csmCAiz,,770,openmrs.reporting,2019-01-23
EOFO1XAQmgs,201812,XMeE8tiBlCN,TEDC8NdJPry,,0,openmrs.reporting,2019-01-23
EOFO1XAQmgs,201812,XMeE8tiBlCN,wTz6csmCAiz,,239,openmrs.reporting,2019-01-23
EOFO1XAQmgs,201812,fy4UAe8WycA,TEDC8NdJPry,,0,openmrs.reporting,2019-01-23
EOFO1XAQmgs,201812,fy4UAe8WycA,wTz6csmCAiz,,446,openmrs.reporting,2019-01-23
EOFO1XAQmgs,201812,hSnC4R4RqoU,TEDC8NdJPry,,1,openmrs.reporting,2019-01-23
EOFO1XAQmgs,201812,hSnC4R4RqoU,wTz6csmCAiz,,755,openmrs.reporting,2019-01-23
EOFO1XAQmgs,201812,i4wr3dvAvkZ,TEDC8NdJPry,,0,openmrs.reporting,2019-01-23
EOFO1XAQmgs,201812,i4wr3dvAvkZ,wTz6csmCAiz,,827,openmrs.reporting,2019-01-23
EOFO1XAQmgs,201812,j4P6U3xOulI,TEDC8NdJPry,,0,openmrs.reporting,2019-01-23
EOFO1XAQmgs,201812,j4P6U3xOulI,wTz6csmCAiz,,649,openmrs.reporting,2019-01-23
EOFO1XAQmgs,201812,s3v5lgvAame,TEDC8NdJPry,,0,openmrs.reporting,2019-01-23
EOFO1XAQmgs,201812,s3v5lgvAame,wTz6csmCAiz,,86,openmrs.reporting,2019-01-23
EtqkzcUecPE,201812,Rb3G7NEU8xu,jF6cd1dU990,,9,openmrs.reporting,2019-01-23
EtqkzcUecPE,201812,XMeE8tiBlCN,jF6cd1dU990,,0,openmrs.reporting,2019-01-23
EtqkzcUecPE,201812,fy4UAe8WycA,jF6cd1dU990,,0,openmrs.reporting,2019-01-23
EtqkzcUecPE,201812,hSnC4R4RqoU,jF6cd1dU990,,4,openmrs.reporting,2019-01-23
EtqkzcUecPE,201812,i4wr3dvAvkZ,jF6cd1dU990,,9,openmrs.reporting,2019-01-23
EtqkzcUecPE,201812,j4P6U3xOulI,jF6cd1dU990,,3,openmrs.reporting,2019-01-23
EtqkzcUecPE,201812,s3v5lgvAame,jF6cd1dU990,,1,openmrs.reporting,2019-01-23
ExonxwofHup,201812,Rb3G7NEU8xu,FEiFPNM8R1d,,559,openmrs.reporting,2019-01-23
ExonxwofHup,201812,Rb3G7NEU8xu,QjjvoGauFeg,,212,openmrs.reporting,2019-01-23
ExonxwofHup,201812,XMeE8tiBlCN,FEiFPNM8R1d,,141,openmrs.reporting,2019-01-23
ExonxwofHup,201812,XMeE8tiBlCN,QjjvoGauFeg,,98,openmrs.reporting,2019-01-23
ExonxwofHup,201812,fy4UAe8WycA,FEiFPNM8R1d,,309,openmrs.reporting,2019-01-23
ExonxwofHup,201812,fy4UAe8WycA,QjjvoGauFeg,,137,openmrs.reporting,2019-01-23
ExonxwofHup,201812,hSnC4R4RqoU,FEiFPNM8R1d,,585,openmrs.reporting,2019-01-23
ExonxwofHup,201812,hSnC4R4RqoU,QjjvoGauFeg,,171,openmrs.reporting,2019-01-23
ExonxwofHup,201812,i4wr3dvAvkZ,FEiFPNM8R1d,,637,openmrs.reporting,2019-01-23
ExonxwofHup,201812,i4wr3dvAvkZ,QjjvoGauFeg,,190,openmrs.reporting,2019-01-23
ExonxwofHup,201812,j4P6U3xOulI,FEiFPNM8R1d,,487,openmrs.reporting,2019-01-23
ExonxwofHup,201812,j4P6U3xOulI,QjjvoGauFeg,,162,openmrs.reporting,2019-01-23
ExonxwofHup,201812,s3v5lgvAame,FEiFPNM8R1d,,71,openmrs.reporting,2019-01-23
ExonxwofHup,201812,s3v5lgvAame,QjjvoGauFeg,,15,openmrs.reporting,2019-01-23
FAK1QJWYFYH,201812,Rb3G7NEU8xu,FEiFPNM8R1d,,422,openmrs.reporting,2019-01-23
FAK1QJWYFYH,201812,Rb3G7NEU8xu,QjjvoGauFeg,,197,openmrs.reporting,2019-01-23
FAK1QJWYFYH,201812,XMeE8tiBlCN,FEiFPNM8R1d,,294,openmrs.reporting,2019-01-23
FAK1QJWYFYH,201812,XMeE8tiBlCN,QjjvoGauFeg,,170,openmrs.reporting,2019-01-23
FAK1QJWYFYH,201812,fy4UAe8WycA,FEiFPNM8R1d,,178,openmrs.reporting,2019-01-23
FAK1QJWYFYH,201812,fy4UAe8WycA,QjjvoGauFeg,,91,openmrs.reporting,2019-01-23
FAK1QJWYFYH,201812,hSnC4R4RqoU,FEiFPNM8R1d,,280,openmrs.reporting,2019-01-23
FAK1QJWYFYH,201812,hSnC4R4RqoU,QjjvoGauFeg,,110,openmrs.reporting,2019-01-23
FAK1QJWYFYH,201812,i4wr3dvAvkZ,FEiFPNM8R1d,,448,openmrs.reporting,2019-01-23
FAK1QJWYFYH,201812,i4wr3dvAvkZ,QjjvoGauFeg,,207,openmrs.reporting,2019-01-23
FAK1QJWYFYH,201812,j4P6U3xOulI,FEiFPNM8R1d,,246,openmrs.reporting,2019-01-23
FAK1QJWYFYH,201812,j4P6U3xOulI,QjjvoGauFeg,,137,openmrs.reporting,2019-01-23
FAK1QJWYFYH,201812,s3v5lgvAame,FEiFPNM8R1d,,46,openmrs.reporting,2019-01-23
FAK1QJWYFYH,201812,s3v5lgvAame,QjjvoGauFeg,,16,openmrs.reporting,2019-01-23
IwJCrDLNQY5,201812,Rb3G7NEU8xu,TEDC8NdJPry,,1,openmrs.reporting,2019-01-23
IwJCrDLNQY5,201812,Rb3G7NEU8xu,wTz6csmCAiz,,618,openmrs.reporting,2019-01-23
IwJCrDLNQY5,201812,XMeE8tiBlCN,TEDC8NdJPry,,0,openmrs.reporting,2019-01-23
IwJCrDLNQY5,201812,XMeE8tiBlCN,wTz6csmCAiz,,464,openmrs.reporting,2019-01-23
IwJCrDLNQY5,201812,fy4UAe8WycA,TEDC8NdJPry,,0,openmrs.reporting,2019-01-23
IwJCrDLNQY5,201812,fy4UAe8WycA,wTz6csmCAiz,,269,openmrs.reporting,2019-01-23
IwJCrDLNQY5,201812,hSnC4R4RqoU,TEDC8NdJPry,,1,openmrs.reporting,2019-01-23
IwJCrDLNQY5,201812,hSnC4R4RqoU,wTz6csmCAiz,,389,openmrs.reporting,2019-01-23
IwJCrDLNQY5,201812,i4wr3dvAvkZ,TEDC8NdJPry,,0,openmrs.reporting,2019-01-23
IwJCrDLNQY5,201812,i4wr3dvAvkZ,wTz6csmCAiz,,655,openmrs.reporting,2019-01-23
IwJCrDLNQY5,201812,j4P6U3xOulI,TEDC8NdJPry,,0,openmrs.reporting,2019-01-23
IwJCrDLNQY5,201812,j4P6U3xOulI,wTz6csmCAiz,,383,openmrs.reporting,2019-01-23
IwJCrDLNQY5,201812,s3v5lgvAame,TEDC8NdJPry,,0,openmrs.reporting,2019-01-23
IwJCrDLNQY5,201812,s3v5lgvAame,wTz6csmCAiz,,62,openmrs.reporting,2019-01-23
KGhcTgNKGbo,201812,Rb3G7NEU8xu,TEDC8NdJPry,,1,openmrs.reporting,2019-01-23
KGhcTgNKGbo,201812,Rb3G7NEU8xu,wTz6csmCAiz,,1343,openmrs.reporting,2019-01-23
KGhcTgNKGbo,201812,XMeE8tiBlCN,TEDC8NdJPry,,0,openmrs.reporting,2019-01-23
KGhcTgNKGbo,201812,XMeE8tiBlCN,wTz6csmCAiz,,974,openmrs.reporting,2019-01-23
KGhcTgNKGbo,201812,fy4UAe8WycA,TEDC8NdJPry,,0,openmrs.reporting,2019-01-23
KGhcTgNKGbo,201812,fy4UAe8WycA,wTz6csmCAiz,,835,openmrs.reporting,2019-01-23
KGhcTgNKGbo,201812,hSnC4R4RqoU,TEDC8NdJPry,,1,openmrs.reporting,2019-01-23
KGhcTgNKGbo,201812,hSnC4R4RqoU,wTz6csmCAiz,,1289,openmrs.reporting,2019-01-23
KGhcTgNKGbo,201812,i4wr3dvAvkZ,TEDC8NdJPry,,0,openmrs.reporting,2019-01-23
KGhcTgNKGbo,201812,i4wr3dvAvkZ,wTz6csmCAiz,,1743,openmrs.reporting,2019-01-23
KGhcTgNKGbo,201812,j4P6U3xOulI,TEDC8NdJPry,,1,openmrs.reporting,2019-01-23
KGhcTgNKGbo,201812,j4P6U3xOulI,wTz6csmCAiz,,1184,openmrs.reporting,2019-01-23
KGhcTgNKGbo,201812,s3v5lgvAame,TEDC8NdJPry,,0,openmrs.reporting,2019-01-23
KGhcTgNKGbo,201812,s3v5lgvAame,wTz6csmCAiz,,170,openmrs.reporting,2019-01-23
MFaBv34Zjej,201812,Rb3G7NEU8xu,TEDC8NdJPry,,1,openmrs.reporting,2019-01-23
MFaBv34Zjej,201812,Rb3G7NEU8xu,wTz6csmCAiz,,32,openmrs.reporting,2019-01-23
MFaBv34Zjej,201812,XMeE8tiBlCN,TEDC8NdJPry,,0,openmrs.reporting,2019-01-23
MFaBv34Zjej,201812,XMeE8tiBlCN,wTz6csmCAiz,,13,openmrs.reporting,2019-01-23
MFaBv34Zjej,201812,fy4UAe8WycA,TEDC8NdJPry,,0,openmrs.reporting,2019-01-23
MFaBv34Zjej,201812,fy4UAe8WycA,wTz6csmCAiz,,42,openmrs.reporting,2019-01-23
MFaBv34Zjej,201812,hSnC4R4RqoU,TEDC8NdJPry,,0,openmrs.reporting,2019-01-23
MFaBv34Zjej,201812,hSnC4R4RqoU,wTz6csmCAiz,,42,openmrs.reporting,2019-01-23
MFaBv34Zjej,201812,i4wr3dvAvkZ,TEDC8NdJPry,,0,openmrs.reporting,2019-01-23
MFaBv34Zjej,201812,i4wr3dvAvkZ,wTz6csmCAiz,,49,openmrs.reporting,2019-01-23
MFaBv34Zjej,201812,j4P6U3xOulI,TEDC8NdJPry,,1,openmrs.reporting,2019-01-23
MFaBv34Zjej,201812,j4P6U3xOulI,wTz6csmCAiz,,21,openmrs.reporting,2019-01-23
MFaBv34Zjej,201812,s3v5lgvAame,TEDC8NdJPry,,0,openmrs.reporting,2019-01-23
MFaBv34Zjej,201812,s3v5lgvAame,wTz6csmCAiz,,2,openmrs.reporting,2019-01-23
MpRf5S2KxhQ,201812,Rb3G7NEU8xu,jF6cd1dU990,,31,openmrs.reporting,2019-01-23
MpRf5S2KxhQ,201812,XMeE8tiBlCN,jF6cd1dU990,,13,openmrs.reporting,2019-01-23
MpRf5S2KxhQ,201812,fy4UAe8WycA,jF6cd1dU990,,35,openmrs.reporting,2019-01-23
MpRf5S2KxhQ,201812,hSnC4R4RqoU,jF6cd1dU990,,41,openmrs.reporting,2019-01-23
MpRf5S2KxhQ,201812,i4wr3dvAvkZ,jF6cd1dU990,,42,openmrs.reporting,2019-01-23
MpRf5S2KxhQ,201812,j4P6U3xOulI,jF6cd1dU990,,20,openmrs.reporting,2019-01-23
MpRf5S2KxhQ,201812,s3v5lgvAame,jF6cd1dU990,,2,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,Rb3G7NEU8xu,H00exThzgWA,,10,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,Rb3G7NEU8xu,Y9e8HJVeLOH,,35,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,Rb3G7NEU8xu,oTUqr9J56DK,,726,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,XMeE8tiBlCN,H00exThzgWA,,10,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,XMeE8tiBlCN,Y9e8HJVeLOH,,0,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,XMeE8tiBlCN,oTUqr9J56DK,,229,openmrs.reporting,2019-01-23
