dataelement,period,orgunit,categoryoptioncombo,attroptioncombo,value,storedby,timestamp
PbWRwbMd2H3,201911,No Mapping,zaZMpHbM8ld,,0,openmrs.reporting,2019-12-05
PbWRwbMd2H3,201911,RoCx0wMPOFi,zaZMpHbM8ld,,0,openmrs.reporting,2019-12-05
PbWRwbMd2H3,201911,gB5msJXYqi3,zaZMpHbM8ld,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,BxFbWUd6OKV,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,CfheeUGMtIR,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,DtH0HcmLhql,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,HDBD9ZdGXU4,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,KZflzwROPZy,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,M8e8Ir2lGIv,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,MZAK5l2zUMS,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,NHwtIheYXsI,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,PRSXCXzhGTa,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,QEwB6xwuVM2,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,QGKIHENnovm,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,QQLtjV1GwP8,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,U5JEL6X84ws,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,YO5cyLrsZj3,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,b0ZbzVTCyy8,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,dW6Kovehl5H,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,fOWShkz3YEf,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,fo0Msn7LsKA,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,k2UtJMBxiJD,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,kamXEMTqIgs,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,qSfMxZFleth,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,rsErCBanzJl,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,vfu0jBiI9yl,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,No Mapping,wFGHhIHvJ81,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,BxFbWUd6OKV,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,CfheeUGMtIR,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,DtH0HcmLhql,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,HDBD9ZdGXU4,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,KZflzwROPZy,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,M8e8Ir2lGIv,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,MZAK5l2zUMS,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,NHwtIheYXsI,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,PRSXCXzhGTa,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,QEwB6xwuVM2,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,QGKIHENnovm,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,QQLtjV1GwP8,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,U5JEL6X84ws,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,YO5cyLrsZj3,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,b0ZbzVTCyy8,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,dW6Kovehl5H,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,fOWShkz3YEf,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,fo0Msn7LsKA,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,k2UtJMBxiJD,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,kamXEMTqIgs,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,qSfMxZFleth,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,rsErCBanzJl,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,vfu0jBiI9yl,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,RoCx0wMPOFi,wFGHhIHvJ81,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,BxFbWUd6OKV,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,CfheeUGMtIR,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,DtH0HcmLhql,,1,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,HDBD9ZdGXU4,,1,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,KZflzwROPZy,,0,openmrs.reporting,2019-12-05
R9rKPpArgY0,201911,gB5msJXYqi3,M8e8Ir2lGIv,,0,openmrs.reporting,2019-12-05
