dataelement,period,orgunit,categoryoptioncombo,attroptioncombo,value,storedby,timestamp
MrtkiN5SEwO,201902,bdp93GFaOEH,BxFbWUd6OKV,,9,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,CfheeUGMtIR,,0,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,DtH0HcmLhql,,5,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,HDBD9ZdGXU4,,23,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,KZflzwROPZy,,0,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,M8e8Ir2lGIv,,19,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,MZAK5l2zUMS,,1,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,NHwtIheYXsI,,5,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,PRSXCXzhGTa,,20,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,QEwB6xwuVM2,,1,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,QGKIHENnovm,,1,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,QQLtjV1GwP8,,32,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,U5JEL6X84ws,,27,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,YO5cyLrsZj3,,9,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,b0ZbzVTCyy8,,5,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,dW6Kovehl5H,,6,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,fOWShkz3YEf,,16,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,fo0Msn7LsKA,,4,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,k2UtJMBxiJD,,11,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,kamXEMTqIgs,,7,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,qSfMxZFleth,,2,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,rsErCBanzJl,,1,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,vfu0jBiI9yl,,1,openmrs.reporting,2019-03-12
MrtkiN5SEwO,201902,bdp93GFaOEH,wFGHhIHvJ81,,32,openmrs.reporting,2019-03-12
X4NjePdr5sA,201902,bdp93GFaOEH,jF6cd1dU990,,237,openmrs.reporting,2019-03-12
OV9XzYGsFU4,201903,bdp93GFaOEH,MopUpXiLXlM,,10,openmrs.reporting,2019-03-12
Vm72RwSJPO0,201903,bdp93GFaOEH,jF6cd1dU990,,237,openmrs.reporting,2019-03-12
