dataelement,period,orgunit,categoryoptioncombo,attroptioncombo,value,storedby,timestamp
ABgYSUDHarm,201811,A4HQc9njgJm,jF6cd1dU990,,3,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,A4lPaACKXgz,jF6cd1dU990,,8,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,A55dVNoHGEt,jF6cd1dU990,,8,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,AAD16JuwOTW,jF6cd1dU990,,3,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,AjmcwZso2nI,jF6cd1dU990,,1,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,B2xrUCZsKvW,jF6cd1dU990,,10,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,BXorKBXEKv0,jF6cd1dU990,,2,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,BZJ86Bcx97b,jF6cd1dU990,,4,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,D2QYM4u2zLx,jF6cd1dU990,,0,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,D9gXbDcgLBs,jF6cd1dU990,,2,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,DuamJ92EoKF,jF6cd1dU990,,0,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,E2xPn5Nizi7,jF6cd1dU990,,1,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,E5oDewyrtiw,jF6cd1dU990,,1,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,EfcqpK711vX,jF6cd1dU990,,4,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,EiYMzaUdqZC,jF6cd1dU990,,0,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,EpY6mxMB5BM,jF6cd1dU990,,5,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,F2QLsciVkdg,jF6cd1dU990,,0,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,FNRq1owDLil,jF6cd1dU990,,1,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,FZ6HhFrJvEt,jF6cd1dU990,,0,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,GTT9ldtimfa,jF6cd1dU990,,4,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,GuCRztcljEs,jF6cd1dU990,,2,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,H8tlCjFZkZp,jF6cd1dU990,,0,openmrs.reporting,2019-01-11
ABgYSUDHarm,201811,HN6aTsM4QsW,jF6cd1dU990,,2,openmrs.reporting,2019-01-11
