dataelement,period,orgunit,categoryoptioncombo,attroptioncombo,value,storedby,timestamp
Tb6gb0bUH7e,2018Q4,cKNMjkCv6Ne,jF6cd1dU990,,162,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,BxFbWUd6OKV,,9,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,CfheeUGMtIR,,1,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,DtH0HcmLhql,,6,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,HDBD9ZdGXU4,,15,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,KZflzwROPZy,,4,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,M8e8Ir2lGIv,,8,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,MZAK5l2zUMS,,1,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,NHwtIheYXsI,,12,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,PRSXCXzhGTa,,4,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,QEwB6xwuVM2,,0,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,QGKIHENnovm,,1,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,QQLtjV1GwP8,,20,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,U5JEL6X84ws,,4,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,YO5cyLrsZj3,,20,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,b0ZbzVTCyy8,,10,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,dW6Kovehl5H,,2,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,fOWShkz3YEf,,8,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,fo0Msn7LsKA,,2,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,k2UtJMBxiJD,,6,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,kamXEMTqIgs,,6,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,qSfMxZFleth,,1,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,rsErCBanzJl,,1,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,vfu0jBiI9yl,,0,openmrs.reporting,2019-01-29
jk1fEAzBQrj,2018Q4,cKNMjkCv6Ne,wFGHhIHvJ81,,21,openmrs.reporting,2019-01-29
nCr201A020k,2018Q4,cKNMjkCv6Ne,zaZMpHbM8ld,,3,openmrs.reporting,2019-01-29
